data,af_revenue,adapter,country,af_id
2021-08-22,0.014229,UnityAdapter,US,1629662774355-3587967110485261675
2021-08-22,0.001126,AdMobAdapter,CO,1619290910482-2080918755385383127
2021-08-22,0.001126,AdMobAdapter,CO,1619290910482-2080918755385383127
2021-08-22,0.015,AdMobAdapter,UK,1602316659083-1725466711156792410
2021-08-22,0.004,AdMobAdapter,MX,1629648420793-9141929354522962852
2021-08-22,0.005,AdMobAdapter,MX,1629648420793-9141929354522962852
2021-08-22,0.041,AdMobAdapter,US,1629660808765-6660206249867365270
2021-08-22,0.001,ApplovinAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.000617,IronSourceRewardedAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.001,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.001,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.001,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.001,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.002,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.001,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.001,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.001,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.001,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.002,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.002,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.002,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.001,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.002,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.002,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.002,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.001,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.001,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.001,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.001,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.001,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.001,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.002,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.001,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.002,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.002,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.002,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.002,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.002,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.003,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.002,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.014177,UnityAdapter,UK,1629653294205-5923942785299164791
2021-08-22,0.014177,UnityAdapter,UK,1629653294205-5923942785299164791
2021-08-22,0.014177,UnityAdapter,UK,1629653294205-5923942785299164791
2021-08-22,0.01,UnityAdapter,UK,1629653294205-5923942785299164791
2021-08-22,0.014177,UnityAdapter,UK,1629653294205-5923942785299164791
2021-08-22,0.014177,UnityAdapter,UK,1629653294205-5923942785299164791
2021-08-22,0.014177,UnityAdapter,UK,1629653294205-5923942785299164791
2021-08-22,0.014177,UnityAdapter,UK,1629653294205-5923942785299164791
2021-08-22,0.032,AdMobAdapter,UK,1629653294205-5923942785299164791
2021-08-22,0.014177,UnityAdapter,UK,1629653294205-5923942785299164791
2021-08-22,0.014177,UnityAdapter,UK,1629653294205-5923942785299164791
2021-08-22,0.014,AdMobAdapter,UK,1629653294205-5923942785299164791
2021-08-22,0.014177,UnityAdapter,UK,1629653294205-5923942785299164791
2021-08-22,0.002,AdMobAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.0025,ApplovinAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.003232,UnityAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.003232,UnityAdapter,RU,1629649528268-8803169966267116328
2021-08-22,0.011,AdMobAdapter,US,1629581943531-7664376587104308425
2021-08-22,0.019,AdMobAdapter,US,1629412569606-4607356977395224222
2021-08-22,0.018,AdMobAdapter,US,1629412569606-4607356977395224222
2021-08-22,0.017,AdMobAdapter,US,1629412569606-4607356977395224222
2021-08-22,0.018,AdMobAdapter,US,1629412569606-4607356977395224222
2021-08-22,0.018,AdMobAdapter,US,1629412569606-4607356977395224222
2021-08-22,0.024,AdMobAdapter,US,1629412569606-4607356977395224222
2021-08-22,0.004,AdMobAdapter,MX,1629648420793-9141929354522962852
2021-08-22,0.042,AdMobAdapter,US,1629412569606-4607356977395224222
2021-08-22,0.003,AdMobAdapter,MX,1629648420793-9141929354522962852
2021-08-22,0.025,AdMobAdapter,US,1629412569606-4607356977395224222
2021-08-22,0.023,AdMobAdapter,US,1629412569606-4607356977395224222
2021-08-22,0.006,AdMobAdapter,DE,1628453937180-7380716728370263552
2021-08-22,0.007,AdMobAdapter,DE,1628453937180-7380716728370263552
2021-08-22,0.005,AdMobAdapter,DE,1628453937180-7380716728370263552
2021-08-22,0.008,AdMobAdapter,DE,1628453937180-7380716728370263552
2021-08-22,0.006,AdMobAdapter,DE,1628453937180-7380716728370263552
2021-08-22,0.007,AdMobAdapter,DE,1628453937180-7380716728370263552
2021-08-22,0.007,AdMobAdapter,DE,1628453937180-7380716728370263552
2021-08-22,0.008,AdMobAdapter,DE,1628453937180-7380716728370263552
2021-08-22,0.021,AdMobAdapter,US,1629646046597-4347632932557687812
2021-08-22,0.012,AdMobAdapter,DE,1628453937180-7380716728370263552
2021-08-22,0.018,ApplovinAdapter,US,1629646046597-4347632932557687812
2021-08-22,0.003016,UnityAdapter,TH,1627901445418-6587950271075195119
2021-08-22,0.004,AdMobAdapter,TH,1627901445418-6587950271075195119
2021-08-22,0.015,AdMobAdapter,US,1629581943531-7664376587104308425
